name,Location,Latitude,Longitude,link
Hayabusa Halal Market Tokyo Akihabara,"17 2-chome Kanda Sudacho, Chiyoda City, Tokyo, 101-0041 Japan",35.696255,139.773581,https://www.halal-navi.com/place/hayabusa-halal-market-tokyo-akihabara/625677qx
PAK Food Center,"15-1-103 Kitamachi, Isesaki-shi, Gunma-ken, 372-0056 Japan",36.328679,139.196153,https://www.halal-navi.com/place/pak-food-center/62x6zqx3
Nasco Halal Food,"2-10-8-101 Hyakunin-cho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.70202,139.699739,https://www.halal-navi.com/place/nasco-halal-food/76y5wpxn
Azhar Halal Foods Japan,"3-36-31-107 Hakozaki, Higashi-ku, Fukuoka-shi, Fukuoka-ken, 812-0053 Japan",33.6225,130.42096,https://www.halal-navi.com/place/azhar-halal-foods-japan/4w3xy459
Laox Shinjuku Open Muslim Friendly Products,"Kyodo Bldg. 5-8F, 3-chome 1-20 Shinjuku, Shinjuku-ku, Tōkyō-to, 160-0022 Japan",35.690575,139.704927,https://www.halal-navi.com/place/laox-shinjuku-open-muslim-friendly-products/w675q353
Nihon International Ltd Halal Shop,"3 Chome−6-14 Sekibara, 足立区, Adachi-ku, Tōkyō-to, 123-0852 Japan",35.767654,139.789493,https://www.halal-navi.com/place/nihon-international-ltd-halal-shop/p79x7n5y
A-Price Beppu,"3-7 Chūōmachi, Beppu-shi, Ōita-ken, 874-0936 Japan",33.276649,131.500737,https://www.halal-navi.com/place/a-price-beppu/w4q5n85p
Baharu,"2-19-4 Nishi-Shinbashi, K-1 building 6F, Minato-ku, Tōkyō-to, 105-0003 Japan",35.666042,139.751788,https://www.halal-navi.com/place/baharu/9qpx2q5y
Nissin World Delicatessen,"2-34-2, Higashi-Azabu, Minato-ku, Tōkyō-to, 106-0044 Japan",35.655656,139.739228,https://www.halal-navi.com/place/nissin-world-delicatessen/z6nx9z5r
Majumder International Online Shopping,"11-23, Shiheicho, Aoba-Ku, Sendai-shi, Miyagi-ken, 981-0944 Japan",38.275722,140.850413,https://www.halal-navi.com/place/majumder-international-online-shopping/4yvxz2x8
Halal Food,"4−14, 井藤ビル, Hiroshima-shi, Hiroshima-ken, 732-0807 Japan",34.3944275,132.476324219,https://www.halal-navi.com/place/halal-food/28r5r65z
Azaan Halal Food,"3 Chome−18−15, ケイ・エムビル, Minamidai, minami-ku, Sagamihara-shi, Kanagawa-ken, 252-0314 Japan",35.516017,139.422984,https://www.halal-navi.com/place/azaan-halal-food/69zx8px7
Yusha Restaurant & Halal Food Shop,"Wakakusacho 9－26 (Next to Nissan Motor Beppu grass shop), Beppu-shi, Ōita-ken, 874-0925 Japan",33.290142,131.503385,https://www.halal-navi.com/place/yusha-restaurant-halal-food-shop/r765p454
Al-Flah Supermarket,"Ohnoya Building 4F, 2-41-2 Ikebukuro, Toshima-ku, Tōkyō-to, 170-0014 Japan",35.733167,139.709579,https://www.halal-navi.com/place/al-flah-supermarket/4qvx4w5r
Nasco Halal Food,"Hyakunin-cho 2-9-3-104, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.702145,139.699402,https://www.halal-navi.com/place/nasco-halal-food/w6256qx3
Sale Bazaar,"2-24-24, 1F, Chūōhonchō, Adachi-ku, Tōkyō-to, 120-0011 Japan",35.767617,139.808933,https://www.halal-navi.com/place/sale-bazaar/n8r53zxv
Sonali Halal Food,"1-13-5-101, Kamijujo, Kita-ku, Kita-ku, Tōkyō-to, 114-0034 Japan",35.761373,139.722545,https://www.halal-navi.com/place/sonali-halal-food/n85v7nxp
Baticrom,"2-16-11 Akabaneminami, Kita-ku, Tōkyō-to, 115-0044 Japan",35.775358,139.725947,https://www.halal-navi.com/place/baticrom/4qxn88xp
Oishii Halal Food,"Yoshioka Building 3F, 4-32-1 Yotsuya, Shinjuku-ku, Tōkyō-to, 160-0004 Japan",35.689461,139.714869,https://www.halal-navi.com/place/oishii-halal-food/qp527qxy
Padma Co.,"8-30-4 Waseda, Misato-shi, Saitama-ken, 341-0018 Japan",35.860658,139.885972,https://www.halal-navi.com/place/padma-co/6n59vzxr
Darvish Shop,"Ueno Bldg. 1F, 18-4 Nihonbashi-Kodenmacho, Chūō-ku, Tōkyō-to, 103-0001 Japan",35.692516,139.779136,https://www.halal-navi.com/place/darvish-shop/8r53yz5v
Asian Bazaar,"2-9-3 Higashi-Oi, Shinagawa-ku, Tōkyō-to, 140-0011 Japan",35.601892,139.741535,https://www.halal-navi.com/place/asian-bazaar/6n59zzxr
Maya Bazaar,"Nakajima Bldg. 203, 3-10-1 Kamioosaki, Shinagawa-ku, Tōkyō-to, 141-0021 Japan",35.633317,139.717732,https://www.halal-navi.com/place/maya-bazaar/8rxry65z
Rose Family Shinokubo,"Initial Annex Bldg. 2F 203, 2-10-8 Hyakunincho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.701947,139.699654,https://www.halal-navi.com/place/rose-family-shinokubo/62x6nqx3
Ambika Shop,"Ambika House, 3-19-2 Kuramae, Taitō-ku, Tōkyō-to, 111-0051 Japan",35.705405,139.791243,https://www.halal-navi.com/place/ambika-shop/8rx3nz5v
Samurai Kitchen,"5-2-13 Asakusa, Taitō-ku, Tōkyō-to, 111-0032 Japan",35.719175,139.798969,https://www.halal-navi.com/place/samurai-kitchen/6nx9nz5r
Toko Fatimah Ameyoko,"4-1-8 Ueno, Taitō-ku, Tōkyō-to, 111-0056 Japan",35.7061,139.78383,https://www.halal-navi.com/place/toko-fatimah-ameyoko/yvxz22x8
Tehran Shop,"1-38-15 Hiranuma, Nishi, Yokohama-shi, Kanagawa-ken, 220-0023 Japan",35.461683,139.619928,https://www.halal-navi.com/place/tehran-shop/8r539z5v
Kobe Halal Food,"2-7-13 Nakayamatedōri, Kōbe-shi, Hyōgo-ken, 650-0004 Japan",34.696309,135.189029,https://www.halal-navi.com/place/kobe-halal-food/9z587px7
Hira Halal Foods,"3 Chome-6-1 Gyōtoku Ekimae, Ichikawa-shi, Chiba-ken, 272-0133 Japan",35.680906,139.919006,https://www.halal-navi.com/place/hira-halal-foods/qv549wxr
Madina Halal Restaurant & Foods,"Imaike-cho 1-11-13, Sanken Build 1F, Anjō-shi, Aichi-ken, 446-0071 Japan",34.985205,137.084801,https://www.halal-navi.com/place/madina-halal-restaurant-foods/62x67q53
Taibat Halal Food,"510-11 Dairakuji-cho, Hachiōji-shi, Tōkyō-to, 193-0816 Japan",35.671805,139.297214,https://www.halal-navi.com/place/taibat-halal-food/yv5zq2x8
Laox Akihabara Honten,"1-2-9 Sotokanda, Chiyoda-ku, Tōkyō-to, 101-0021 Japan",35.698156,139.770923,https://www.halal-navi.com/place/laox-akihabara-honten/8rxr365z
Toa Food,"759-3, Mikuninocho Fukashino, Himeji-shi, Hyōgo-ken, 671-0231 Japan",34.826383,134.74624,https://www.halal-navi.com/place/toa-food/9z58ypx7
Watan Sapporo Halal Food,"3-1-20 Matsuda Building, Kita 19 Jonishi,Kita-ku, Sapporo-shi, Hokkaidō, 001-0019 Japan",43.083239,141.346505,https://www.halal-navi.com/place/watan-sapporo-halal-food/76xpr4x4
S and S International,"Tono Ike Bldg., 2F, 1-24-17, Eki Higashidori, Oyama-shi, Tochigi-ken, 323-0022 Japan",36.309157,139.809977,https://www.halal-navi.com/place/s-and-s-international/qv547wxr
Muslim Halal Food Shop (Mehoob Hussain),"2-13-13, Nishihara, Asaka-shi, Saitama-ken, 351-0034 Japan",35.818888,139.585419,https://www.halal-navi.com/place/muslim-halal-food-shop-mehoob-hussain/w35yv4x9
Asia Halal Food,"Okumura Bldg., No. 202, 1-33-21, Nishi Kawaguchi, Kawaguchi-shi, Saitama-ken, 332-0021 Japan",35.814061,139.701264,https://www.halal-navi.com/place/asia-halal-food/67xq93x3
Jazmak Halal Shop,"17-8, Hiyoshi-cho, Tokorozawa-shi, Saitama-ken, 359-1123 Japan",35.787758,139.470017,https://www.halal-navi.com/place/jazmak-halal-shop/7957vnxy
Salimar Sweets & Food,"Shali Bldg., 3-30-13, Naka-Kasai, Edogawa-ku, Tōkyō-to, 134-0083 Japan",35.665776,139.872174,https://www.halal-navi.com/place/salimar-sweets-food/n8xvwn5p
Friends Halal Food,"Primera Dogenzaka 913, 1-15-3, Dogenzaka, Shibuya-ku, Tōkyō-to, 150-0043 Japan",35.657344,139.697712,https://www.halal-navi.com/place/friends-halal-food/6nx96z5r
The Jannat Halal Food,"Twin Village Shinjuku 102, 2-9-1, Hyakunincho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.702338,139.699655,https://www.halal-navi.com/place/the-jannat-halal-food/8r5rr65z
Ohtsuya Shouten,"4-6-1, Ueno, Taitō-ku, Tōkyō-to, 110-0005 Japan",35.708513,139.774682,https://www.halal-navi.com/place/ohtsuya-shouten/765p6454
AGM Trading,"1-1-16, Tsunashima Nishi, Kohoku-ku, Yokohama-shi, Yokohama-shi, Kanagawa-ken, 223-0053 Japan",35.537106,139.634787,https://www.halal-navi.com/place/agm-trading/qvx4zwxr
Syed Bros. Halal Food,"Room 805, Tokan Mansion Kanayama,1-15-14, Kanayama, Naka-ku, Nagoya-shi, Aichi-ken, 456-0002 Japan",35.142675,136.901715,https://www.halal-navi.com/place/syed-bros-halal-food/6y5wyp5n
Sunshine Halal Mart,"1 Chome-13-12 Higashi-ikebukuro, Toshima-ku, Tōkyō-to, 170-0013 Japan",35.729328,139.715298,https://www.halal-navi.com/place/sunshine-halal-mart/79x7rn5y
Jasmine Mini Market,"2-2-14-101 Motoazabu, Minato-ku, Tōkyō-to, 106-0046 Japan",35.654562,139.726318,https://www.halal-navi.com/place/jasmine-mini-market/n85vynxp
Indo Bazaar,"5-20-6 Kamata, Ōta-ku, Tōkyō-to, 144-0052 Japan",35.561713,139.718662,https://www.halal-navi.com/place/indo-bazaar/qp52vq5y
Couscous,"3-24-7 Higashi-Shinagawa, Shinagawa-ku, Tōkyō-to, 140-0002 Japan",35.612523,139.745687,https://www.halal-navi.com/place/couscous/yv5zp258
Asia Superstore,"Chaleur-Shinjuku Bldg. 2F, 1-8-2 Okubo, Shinjuku-ku, Tōkyō-to, 169-0072 Japan",35.698529,139.704917,https://www.halal-navi.com/place/asia-superstore/9z588p57
Barahi Foods & Spice Center,"2-10-9 101 Hyakunincho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.70191,139.699703,https://www.halal-navi.com/place/barahi-foods-spice-center/76xp24x4
JB Halal Food,"1-10-4 Hiyakunin-Cho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.699921,139.699801,https://www.halal-navi.com/place/jb-halal-food/qv542w5r
Rose Family Takadanobaba,"Domus Sani Yanagawa Bldg. 2F 202, 3-2-13 Takadanobaba, Shinjuku-ku, Tōkyō-to, 169-0075 Japan",35.714391,139.703285,https://www.halal-navi.com/place/rose-family-takadanobaba/6yxw6p5n
Shinjuku Halal Food,"Okayama Business Bldg. 201, 2-9-2 Hyakunin-cho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.702159,139.699545,https://www.halal-navi.com/place/shinjuku-halal-food/w35yy459
Solti,"Lions Mantion 2F, 2-9-15 Hyakonincho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.702059,139.700146,https://www.halal-navi.com/place/solti/67xqy3x3
Toko Indonesia,"Jikei Bldg. IF, 1-19-18 Hyakunincho, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.701393,139.696338,https://www.halal-navi.com/place/toko-indonesia/79572nxy
Raja Halal Food,"143 Furukori,  Ōizumi-machi, Ōra-gun, Gunma-ken, 370-0536 Japan",36.261759,139.394833,https://www.halal-navi.com/place/raja-halal-food/6yxwwpxn
TAJ Enterprise Ltd.,"7-4-2, Hanahata, Adachi-ku, Tōkyō-to, 121-0061 Japan",35.808993,139.816685,https://www.halal-navi.com/place/taj-enterprise-ltd/8rx37zxv
Nozawaya,"Ameyoko Center Bldg. B1, 4-7-8 Ueno, Taitō-ku, Tōkyō-to, 110-0005 Japan",35.709607,139.774526,https://www.halal-navi.com/place/nozawaya/qpx23q5y
Halal Food in Japan,"2-39-9 Nishiikebukuro, Toshima-ku, Tōkyō-to, 171-0021 Japan",35.727701,139.707967,https://www.halal-navi.com/place/halal-food-in-japan/79x78n5y
Zaika,"1-12-2, Higashi-Rokugo, Ōta-ku, Tōkyō-to, 144-0046 Japan",35.553489,139.719087,https://www.halal-navi.com/place/zaika/4q5n98xp
Iran Shop,"Flat Bldg., 5F, 1-24-7, Shibuya, Shibuya-ku, Tōkyō-to, 150-0002 Japan",35.660591,139.701992,https://www.halal-navi.com/place/iran-shop/qpx2qq5y
Baharia,"2F, Hokuto Honsha bldg., Yoyogi 2-14-3, Shibuya-ku, Tōkyō-to, 151-0053 Japan",35.686867,139.696758,https://www.halal-navi.com/place/baharia/yvxzr2x8
Al-Amin Halal Foods,"1-42-8, Yahiro, Sumida-ku, Tōkyō-to, 131-0041 Japan",35.721977,139.825732,https://www.halal-navi.com/place/al-amin-halal-foods/9zx89p57
City Halal Food,"1-58, Hosokome-cho, Nakagawa-ku, Nagoya-shi, Aichi-ken, 454-0847 Japan",35.1362,136.863858,https://www.halal-navi.com/place/city-halal-food/6256rq53
Soyo Trading,"2-2-1, Minatojima Nakamachi, Chuo-ku, Kōbe-shi, Hyōgo-ken, 650-0046 Japan",34.672204,135.214704,https://www.halal-navi.com/place/soyo-trading/w3xy34x9
Halal Kitano Store,"Flower Bldg. 1F, 3-3-3, Yamamoto-dori, Chuo-ku, Kōbe-shi, Hyōgo-ken, 650-0003 Japan",34.69641,135.18784,https://www.halal-navi.com/place/halal-kitano-store/675q7353
A. A. G. Halal Food Shop,"5-4-6 Kashiwanoha, Kashiwa-shi, Chiba-ken, 277-0882 Japan",35.903477,139.939881,https://www.halal-navi.com/place/a-a-g-halal-food-shop/6n597z5r
Halal Mart Japan,"3-1 Honchō, Kawaguchi-shi, Saitama-ken, 332-0012 Japan",35.802321,139.721545,https://www.halal-navi.com/place/halal-mart-japan/8rxr66xz
National Azabu Supermarket,"4-5-2 Minami-Azabu, Minato-ku, Tōkyō-to, 106-0047 Japan",35.651283,139.724141,https://www.halal-navi.com/place/national-azabu-supermarket/4qxnv8xp
Sariraya Halal Mart,"Kitaura-75-1 Yonezuchō, Nishio-shi, Aichi-ken, 445-0802 Japan",34.900244,137.060734,https://www.halal-navi.com/place/sariraya-halal-mart/yv5z72x8
