Survey_item,Detail,2014,2015,2016,2017,2018,2019
Port of Entry,New Chitose,2.0,2.0,2.0,,2.0,1.0
Port of Entry,Hakodate,,,,,,
Port of Entry,Sendai,,,,,,
Port of Entry,Haneda,58.0,180.0,225.0,257.0,382.0,383.0
Port of Entry,Narita,421.0,283.0,232.0,230.0,342.0,378.0
Port of Entry,Komatsu,,1.0,,,,
Port of Entry,Mt.Fuji Shizuoka,,,,,,
Port of Entry,Chubu,18.0,2.0,1.0,4.0,3.0,38.0
Port of Entry,Kansai,212.0,153.0,156.0,138.0,215.0,179.0
Port of Entry,Hiroshima,1.0,,,1.0,,1.0
Port of Entry,Kanmon (Shimonoseki) Port,,,,,,
Port of Entry,Takamatsu,,,,,,
Port of Entry,Fukuoka,3.0,4.0,4.0,,,3.0
Port of Entry,Hakata Port,,,,,,
Port of Entry,Izuhara Port,,,,,,
Port of Entry,Kagoshima,,,,,,
Port of Entry,Naha,,,,,,1.0
Port of Entry,Other,1.0,7.0,3.0,1.0,1.0,
Port of Departure,New Chitose,,,1.0,,,
Port of Departure,Hakodate,,,,,,
Port of Departure,Sendai,,,,,,
Port of Departure,Haneda,68.0,145.0,215.0,239.0,383.0,369.0
Port of Departure,Narita,428.0,316.0,239.0,235.0,332.0,379.0
Port of Departure,Komatsu,,,,,,
Port of Departure,Mt.Fuji Shizuoka,,,,,,
Port of Departure,Chubu,14.0,2.0,,1.0,,44.0
Port of Departure,Kansai,205.0,168.0,167.0,156.0,230.0,192.0
Port of Departure,Hiroshima,,,,,,
Port of Departure,Kanmon (Shimonoseki) Port,,,,,,
Port of Departure,Takamatsu,,,,,,
Port of Departure,Fukuoka,3.0,1.0,1.0,,,
Port of Departure,Hakata Port,,,,,,
Port of Departure,Izuhara Port,,,,,,
Port of Departure,Kagoshima,,,,,,
Port of Departure,Naha,,,,,,
Country/Region of Residence,South Korea,,,,,,
Country/Region of Residence,Taiwan,,,,,,1.0
Country/Region of Residence,Hong Kong,,1.0,,,,
Country/Region of Residence,China,,,1.0,,1.0,
Country/Region of Residence,Beijing,,,,,,
Country/Region of Residence,Shanghai,,,1.0,,,
Country/Region of Residence,Chongqing,,,,,,
Country/Region of Residence,Tianjin,,,,,,
Country/Region of Residence,Guangdong,,,,,,
Country/Region of Residence,Shandong,,,,,1.0,
Country/Region of Residence,Liaoning,,,,,,
Country/Region of Residence,Zhejiang,,,,,,
Country/Region of Residence,Jiangsu,,,,,,
Country/Region of Residence,Sichuan,,,,,,
Country/Region of Residence,Macau,,,,,,
Country/Region of Residence,Hubei,,,,,,
Country/Region of Residence,Fujian,,,,,,
